timestamp,safety,intervall,period_length,past_minutes,max_enter,min_enter,scaling,kind_optimization,kind_simulation,kind_queue,infeasible,avg_duration,total_duration,max_duration,avg_build_time,avg_queue,end_queue,avg_queue_age,end_queue_age,total_demand,people_moved,avg_utilization,max_utilization,exceeded_minutes,exceeded_mean,exceeded_median,exceeded_080quant,exceeded_090quant,safety_minutes,safety_mean,safety_median,safety_080quant,safety_090quant
2025-12-29T14:57:31.259,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,45,80.0,0.0,0.8,linweight,bound,lag_periods,0,0.16893042253125,5.405773521,0.787903668,0.6879150066562499,3122.609598766809,246815.60399907778,146.27890871048575,217.89536021701997,1.3271872000000007e6,1.0767147629185608e6,0.23857616476957202,0.8224621566425935,0.0,NaN,0.0,0.0,0.0,231.0,0.7277737901603475,0.7048082994825344,0.757802090197804,0.8064983719768358
2025-12-29T14:59:03.971,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,90,80.0,0.0,0.8,linweight,bound,lag_periods,0,0.22750940768749997,7.280301045999999,0.292285085,0.9771763501562498,3187.5776088384973,256675.75789732952,149.85153558351155,220.42041218832594,1.3271872000000007e6,1.0668545265912854e6,0.2361173778596628,0.7784700166623088,0.0,NaN,0.0,0.0,0.0,141.0,0.7114814666101398,0.7047404981734431,0.7157825744548851,0.7368300300377297
2025-12-29T15:00:52.371,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,135,80.0,0.0,0.8,linweight,bound,lag_periods,0,0.30145575287500004,9.646584092000001,0.470207932,1.3093704993437498,3217.6333270267237,264642.923906517,152.11435458564824,220.37731133631004,1.3271872000000007e6,1.0588874403579012e6,0.23614892777709764,0.7976563422874929,0.0,NaN,0.0,0.0,0.0,125.0,0.7246988372703441,0.7073459759517409,0.7555059067141356,0.7817284628614134
2025-12-29T15:02:52.337,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,180,80.0,0.0,0.8,linweight,bound,lag_periods,0,0.3725592661249999,11.921896515999997,0.480970635,1.7154772230625,3214.993395317914,262336.94444260444,149.26556462051107,215.0195011596358,1.3271872000000007e6,1.0611934120290948e6,0.23576355334060797,0.7789283114103972,0.0,NaN,0.0,0.0,0.0,107.0,0.7119179598310024,0.704808299482534,0.7173817817310812,0.7229083609353741
2025-12-29T15:05:05.895,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,225,80.0,0.0,0.8,linweight,bound,lag_periods,0,0.43392821565624995,13.885702900999998,0.626290354,2.07410516309375,3244.377194084744,267981.32420801703,147.91379284984683,213.58210321375972,1.3271872000000007e6,1.0555490123101994e6,0.23443115462607647,0.8269985825464924,0.0,NaN,0.0,0.0,0.0,100.0,0.7179362285270986,0.7047404981734438,0.7170861808734765,0.7799068690671489
2025-12-29T15:07:32.158,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,270,80.0,0.0,0.8,linweight,bound,lag_periods,0,0.51879251375,16.60136044,0.712896061,2.3944766078125,3252.4406575855924,276396.5988189457,147.9360326433787,213.79722414665295,1.3271872000000007e6,1.0471337542714827e6,0.23307561355208656,0.7347035887983633,0.0,NaN,0.0,0.0,0.0,81.0,0.7113174834318751,0.7048082994825344,0.7218327035224327,0.722947567605033
2025-12-29T15:08:51.686,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,45,80.0,0.0,1.0,linweight,bound,lag_periods,0,0.14789372515625002,4.7325992050000005,0.188967159,0.6514689798125001,5774.241102176532,521352.7266597496,188.53815670646642,286.2988618004157,1.6589839999999995e6,1.1330600827883738e6,0.24971864904852012,0.7810650289861395,0.0,NaN,0.0,0.0,0.0,531.0,0.7131921752458941,0.7040674776101311,0.7279534486322138,0.743379267149739
2025-12-29T15:10:25.104,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,90,80.0,0.0,1.0,linweight,bound,lag_periods,0,0.23092253615624997,7.389521156999999,0.297267929,0.9769997142499999,5781.578565129723,521386.0161030503,192.6441254663916,293.1366616358839,1.6589839999999995e6,1.133026934235329e6,0.25117574789753994,0.8298359194151669,0.0,NaN,0.0,0.0,0.0,318.0,0.7110898677528226,0.7039800789373793,0.7079595380077819,0.7312831905760007
2025-12-29T15:12:12.648,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,135,80.0,0.0,1.0,linweight,bound,lag_periods,0,0.31002780378125006,9.920889721000002,0.413397199,1.2981398545624998,5796.767348012056,530471.5316451512,195.81435372974363,297.2114940214671,1.6589839999999995e6,1.1239414260940405e6,0.2498653535140993,0.7339807401060517,0.0,NaN,0.0,0.0,0.0,161.0,0.706086543250937,0.7037933167934285,0.7100231518996074,0.7149685995848032
2025-12-29T15:14:15.325,0.7,2022-11-29T05:00:00 to 2022-11-30T04:59:00,45,180,80.0,0.0,1.0,linweight,bound,lag_periods,0,0.3967824284375001,12.697037710000004,0.547154635,1.7188424443124999,5802.732678981404,526982.0764017275,194.06035170082856,291.9547396571059,1.6589839999999995e6,1.1274308276292444e6,0.24923974897897092,0.7580746670420004,0.0,NaN,0.0,0.0,0.0,205.0,0.7106640922370813,0.7054708225125477,0.7164621293524528,0.7264779440703404
