kind_simulation,min_enter,max_enter,safety,safety_minutes_mean,exceeded_minutes_mean,max_utilization_mean,avg_utilization_mean,avg_queue_mean,people_moved_mean
bound,0.0,120.0,0.7,936.4666666666667,1.6833333333333333,0.885213639674191,0.22755730606274718,4759.219244483845,1.1335382288888884e6
bound,0.0,120.0,0.8,776.5,8.4,1.055216413324114,0.2527246768339984,3810.2495624014973,1.262492528888889e6
bound,0.0,120.0,0.9,807.7166666666667,39.18333333333333,1.2423151570351196,0.2747609104428747,2939.422197104019,1.3759439533333334e6
bound,0.0,120.0,1.0,634.0,634.0,1.409027248507507,0.29177845553514964,2188.0467068065404,1.4679922344444445e6
bound,10.0,120.0,0.7,314.1333333333333,0.2,0.8335735778593936,0.21677479181374965,5095.906141646966,1.097220144444444e6
bound,10.0,120.0,0.8,262.48333333333335,6.516666666666667,0.9911000298204553,0.24248387130739807,4162.892528319543,1.2217575944444446e6
bound,10.0,120.0,0.9,319.35,24.75,1.1662407070611025,0.2656314457201297,3313.7200189617815,1.334397562222222e6
bound,10.0,120.0,1.0,218.53333333333333,218.53333333333333,1.2867967284677515,0.28342112737302894,2576.6705545705277,1.4239245422222214e6
bound,0.0,180.0,0.7,1067.3333333333333,4.983333333333333,0.9828071243140727,0.22815027473979002,4739.439465622538,1.1345552588888889e6
bound,0.0,180.0,0.8,915.8833333333333,15.1,1.164825535642134,0.25277390395458044,3788.238231136723,1.264590114444445e6
bound,0.0,180.0,0.9,899.3333333333334,52.88333333333333,1.3445359956827894,0.27451081673556055,2914.1680159081957,1.3793667611111114e6
bound,0.0,180.0,1.0,736.9333333333333,736.9333333333333,1.4986002412262045,0.2923931932764528,2141.865406323878,1.4772059922222218e6
bound,10.0,180.0,0.7,369.9,2.95,0.8999818866460142,0.2170256464756104,5075.3844678388505,1.0979437199999997e6
bound,10.0,180.0,0.8,344.55,11.083333333333334,1.0712110580642005,0.24294818799491041,4142.292351999607,1.2245069155555558e6
bound,10.0,180.0,0.9,365.73333333333335,36.266666666666666,1.1974528877333435,0.26497591444117535,3307.4576359338066,1.3355934977777784e6
bound,10.0,180.0,1.0,262.55,262.55,1.347317527177124,0.2834005823083732,2549.3645715130024,1.430434848888889e6
unbound,0.0,180.0,0.7,20889.666666666668,8458.0,2.4893164622170705,0.32669511115799954,0.0,1.6639143333333333e6
