timestamp,safety,intervall,period_length,past_minutes,max_enter,min_enter,scaling,kind_optimization,kind_simulation,kind_queue,infeasible,avg_duration,total_duration,max_duration,avg_build_time,avg_queue,end_queue,avg_queue_age,end_queue_age,total_demand,people_moved,avg_utilization,max_utilization,exceeded_minutes,exceeded_mean,exceeded_median,exceeded_080quant,exceeded_090quant,safety_minutes,safety_mean,safety_median,safety_080quant,safety_090quant
2025-12-30T19:10:23.998,1.0,2017-05-17T05:00:00 to 2017-05-18T04:59:00,40,160,1000.0,0.0,1.0,linweight,bound,shift_periods,0,12.654083532444444,455.547007168,24.687726708,66.47680975224999,0.23809462818505356,0.0,11.415368692959635,0.0,7.051389999999999e6,7.051389999999997e6,0.05852168816814816,0.9999999999999921,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025-12-30T20:09:06.663,1.0,2017-05-17T05:00:00 to 2017-05-18T04:59:00,40,160,1000.0,0.0,1.1,linweight,bound,shift_periods,0,12.816815337972223,461.405352167,25.703262041,64.41849486338889,1.2257975869745843,0.0,16.36273633874353,0.0,7.756529000000002e6,7.756529000000002e6,0.06437385698493069,0.999999999999999,0.0,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025-12-30T21:07:50.052,1.0,2017-05-17T05:00:00 to 2017-05-18T04:59:00,40,160,1000.0,0.0,1.2,linweight,bound,shift_periods,0,13.07316712613889,470.634016541,29.092025292,64.21569529513889,4.9720011988576776,0.0,17.006980008951032,0.0,8.461667999999996e6,8.461667999999993e6,0.07022602580174443,1.0009040876267128,4.0,1.0008030271088155,1.0008030271088157,1.0009040876267086,1.0009040876267108,4.0,1.0008030271088155,1.0008030271088157,1.0009040876267086,1.0009040876267108
