kind_simulation,period_length,past_periods,avg_duration_mean,safety_minutes_mean,exceeded_minutes_mean,max_utilization_mean,avg_utilization_mean,avg_queue_mean,people_moved_mean
bound,15,1,0.09893004069618057,894.3611111111111,198.30555555555554,1.151568449119856,0.2640393866889407,3314.8445757814543,1.324198908333333e6
bound,15,2,0.13905653520587388,620.0277777777778,140.88888888888889,1.167239350063785,0.2613696284087094,3404.981018518518,1.308936152777778e6
bound,15,3,0.1780426800483218,532.2777777777778,115.73611111111111,1.1313371739837992,0.25952072443936786,3468.03195429472,1.2985894222222215e6
bound,15,4,0.21891019865133102,486.65277777777777,105.27777777777777,1.081950999144155,0.2582803460022958,3502.5565910658,1.2914955592592591e6
bound,15,5,0.2623485883923611,455.9583333333333,107.01388888888889,1.1036930064861237,0.2570882794364715,3540.7586930736156,1.2844645046296294e6
bound,15,6,0.30251708211747685,414.3611111111111,95.36111111111111,1.0795801373585772,0.2558699034713472,3569.5126052748237,1.2775051546296293e6
bound,30,1,0.07520437098379631,842.625,183.80555555555554,1.1690048780119542,0.26108253337738735,3314.9843852607037,1.3218261620370368e6
bound,30,2,0.10980210419068287,644.0555555555555,142.33333333333334,1.1108723159238807,0.2582075323424482,3403.2849834597437,1.3065049398148148e6
bound,30,3,0.14389695270312508,553.375,120.88888888888889,1.083811085268471,0.2564571661560969,3449.84246474422,1.2962575898148147e6
bound,30,4,0.17957463553645833,490.9583333333333,103.76388888888889,1.0481808378044581,0.25442593365185584,3497.00255901957,1.2858069222222222e6
bound,30,5,0.21295228078761577,472.6666666666667,105.88888888888889,1.08156006193732,0.25317625307823705,3522.688645299777,1.2787507805555556e6
bound,30,6,0.25099353879195596,459.65277777777777,106.34722222222223,1.0881423745068584,0.25236222888348037,3537.828145110978,1.2745102731481483e6
bound,45,1,0.07538136174392357,899.1111111111111,192.19444444444446,1.1601161542001104,0.2668262577189819,3469.474143436433,1.3529046768518526e6
bound,45,2,0.10935162864322917,699.4861111111111,153.88888888888889,1.1440722726516743,0.2636495187588703,3561.59743133537,1.3348750287037042e6
bound,45,3,0.14382436642230906,613.4722222222222,145.15277777777777,1.1314597585481907,0.26115063313626735,3614.746584211649,1.3215099759259252e6
bound,45,4,0.17779264540451392,564.8194444444445,130.61111111111111,1.1105932129132337,0.25955455272905975,3643.020558756895,1.3130863675925923e6
bound,45,5,0.21138907378125,511.72222222222223,121.04166666666667,1.1059462308421564,0.2576861773476174,3667.9355151694244,1.3033667953703706e6
bound,45,6,0.24527697808550356,514.2916666666666,119.94444444444444,1.116392564369377,0.2564916527823372,3680.7325278680737,1.2968233666666665e6
bound,60,1,0.04840075199131944,858.9305555555555,202.94444444444446,1.2724963812088799,0.26037276729263137,3326.127617505581,1.3190311750000003e6
bound,60,2,0.07196939030497684,676.7638888888889,148.77777777777777,1.2293724504378079,0.2571871104940977,3395.855599881797,1.3017048444444446e6
bound,60,3,0.09614854436111112,622.375,149.61111111111111,1.2068216712570123,0.2551745256239893,3431.2204452735095,1.2918985175925926e6
bound,60,4,0.11872551060937503,569.8333333333334,146.70833333333334,1.197605887592321,0.25333549783788617,3449.6330443919096,1.282827441666667e6
bound,60,5,0.14153523799479165,566.2777777777778,143.31944444444446,1.209182310007962,0.2518932386074713,3465.1540665221964,1.2742004046296298e6
bound,60,6,0.16307165285763886,523.7083333333334,139.48611111111111,1.1930719269530448,0.25092703343659983,3476.990603657734,1.2681155018518518e6
unbound,60,1,0.06928694061805556,20889.666666666668,8458.0,2.4893164622170705,0.32669511115799954,0.0,1.6639143333333333e6
