datetime,station,allowed,moved,queued
2022-11-28T06:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T06:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T06:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T06:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T06:00:00.0,Metro_NationalMuseum,2,2,0
2022-11-28T06:00:00.0,Metro_OqbaIbnNafie,1,1,1
2022-11-28T06:00:00.0,Metro_QatarNationalLibrary,1,1,0
2022-11-28T06:00:00.0,Metro_QatarUniversity,1,1,0
2022-11-28T06:00:00.0,Metro_RasBuAbboud,0,0,0
2022-11-28T06:00:00.0,Metro_RasBuFontas,0,0,0
2022-11-28T06:00:00.0,Metro_SouqWaqif,4,4,0
2022-11-28T06:00:00.0,Metro_SportCity,0,0,0
2022-11-28T06:00:00.0,Metro_TheWhitePalace,1,1,0
2022-11-28T06:00:00.0,Metro_UmmGhuwailina,1,1,0
2022-11-28T06:00:00.0,Metro_WestBay,2,2,0
2022-11-28T07:00:00.0,Metro_AlAziziyah,3,3,0
2022-11-28T07:00:00.0,Metro_AlBiddaConcourse,1,1,1
2022-11-28T07:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T07:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T07:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T07:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T07:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T07:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T07:00:00.0,Metro_AlDohaAlJadeda,7,7,0
2022-11-28T07:00:00.0,Metro_AlMansoura,8,8,1
2022-11-28T07:00:00.0,Metro_AlMatarAlQadeem,43,43,0
2022-11-28T07:00:00.0,Metro_AlMessila,5,5,0
2022-11-28T07:00:00.0,Metro_AlQassar,4,4,0
2022-11-28T07:00:00.0,Metro_AlRayyanAlQadeem,1,1,0
2022-11-28T07:00:00.0,Metro_AlRiffa,1,1,0
2022-11-28T07:00:00.0,Metro_AlSadd,5,5,0
2022-11-28T07:00:00.0,Metro_AlShaqab,0,0,0
2022-11-28T07:00:00.0,Metro_AlSudan,2,2,0
2022-11-28T07:00:00.0,Metro_AlWaabQLM,1,1,0
2022-11-28T07:00:00.0,Metro_AlWakra,7,7,0
2022-11-28T07:00:00.0,Metro_BinMahmoud,9,9,0
2022-11-28T07:00:00.0,Metro_Corniche,0,0,0
2022-11-28T07:00:00.0,Metro_DECC,6,6,0
2022-11-28T07:00:00.0,Metro_EducationCity,4,4,0
2022-11-28T07:00:00.0,Metro_FreeZone,9,9,0
2022-11-28T07:00:00.0,Metro_HamadHospital,3,3,0
2022-11-28T07:00:00.0,Metro_HamadIntlAirportT1,33,33,0
2022-11-28T07:00:00.0,Metro_Joaan,7,7,0
2022-11-28T07:00:00.0,Metro_Katara,1,1,0
2022-11-28T07:00:00.0,Metro_Legtaifiya,2,2,0
2022-11-28T07:00:00.0,Metro_Lusail,5,5,0
2022-11-28T07:00:00.0,Metro_MsheirebConcourse,7,7,0
2022-11-28T07:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T07:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T07:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T07:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T07:00:00.0,Metro_NationalMuseum,2,2,0
2022-11-28T07:00:00.0,Metro_OqbaIbnNafie,2,2,0
2022-11-28T07:00:00.0,Metro_QatarNationalLibrary,0,0,6
2022-11-28T07:00:00.0,Metro_QatarUniversity,0,0,5
2022-11-28T07:00:00.0,Metro_RasBuAbboud,0,0,0
2022-11-28T07:00:00.0,Metro_RasBuFontas,4,4,0
2022-11-28T07:00:00.0,Metro_SouqWaqif,26,26,1
2022-11-28T07:00:00.0,Metro_SportCity,2,2,0
2022-11-28T07:00:00.0,Metro_TheWhitePalace,1,1,0
2022-11-28T07:00:00.0,Metro_UmmGhuwailina,3,3,0
2022-11-28T07:00:00.0,Metro_WestBay,2,2,0
2022-11-28T08:00:00.0,Metro_AlAziziyah,8,8,0
2022-11-28T08:00:00.0,Metro_AlBiddaConcourse,3,3,1
2022-11-28T08:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T08:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T08:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T08:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T08:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T08:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T08:00:00.0,Metro_AlDohaAlJadeda,14,14,0
2022-11-28T08:00:00.0,Metro_AlMansoura,17,17,0
2022-11-28T08:00:00.0,Metro_AlMatarAlQadeem,44,44,0
2022-11-28T08:00:00.0,Metro_AlMessila,13,13,0
2022-11-28T08:00:00.0,Metro_AlQassar,9,9,0
2022-11-28T08:00:00.0,Metro_AlRayyanAlQadeem,3,3,1
2022-11-28T08:00:00.0,Metro_AlRiffa,3,3,0
2022-11-28T08:00:00.0,Metro_AlSadd,10,10,1
2022-11-28T08:00:00.0,Metro_AlShaqab,0,0,0
2022-11-28T08:00:00.0,Metro_AlSudan,4,4,0
2022-11-28T08:00:00.0,Metro_AlWaabQLM,1,1,0
2022-11-28T08:00:00.0,Metro_AlWakra,18,18,1
2022-11-28T08:00:00.0,Metro_BinMahmoud,15,15,0
2022-11-28T08:00:00.0,Metro_Corniche,0,0,0
2022-11-28T08:00:00.0,Metro_DECC,13,13,0
2022-11-28T08:00:00.0,Metro_EducationCity,15,15,0
2022-11-28T08:00:00.0,Metro_FreeZone,12,12,1
2022-11-28T08:00:00.0,Metro_HamadHospital,6,6,0
2022-11-28T08:00:00.0,Metro_HamadIntlAirportT1,38,38,0
2022-11-28T08:00:00.0,Metro_Joaan,12,12,0
2022-11-28T08:00:00.0,Metro_Katara,2,2,0
2022-11-28T08:00:00.0,Metro_Legtaifiya,5,5,0
2022-11-28T08:00:00.0,Metro_Lusail,12,12,0
2022-11-28T08:00:00.0,Metro_MsheirebConcourse,11,11,1
2022-11-28T08:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T08:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T08:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T08:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T08:00:00.0,Metro_NationalMuseum,5,5,0
2022-11-28T08:00:00.0,Metro_OqbaIbnNafie,5,5,0
2022-11-28T08:00:00.0,Metro_QatarNationalLibrary,1,1,0
2022-11-28T08:00:00.0,Metro_QatarUniversity,0,0,0
2022-11-28T08:00:00.0,Metro_RasBuAbboud,1,1,0
2022-11-28T08:00:00.0,Metro_RasBuFontas,11,11,0
2022-11-28T08:00:00.0,Metro_SouqWaqif,32,32,0
2022-11-28T08:00:00.0,Metro_SportCity,3,3,1
2022-11-28T08:00:00.0,Metro_TheWhitePalace,1,1,0
2022-11-28T08:00:00.0,Metro_UmmGhuwailina,7,7,0
2022-11-28T08:00:00.0,Metro_WestBay,3,3,0
2022-11-28T09:00:00.0,Metro_AlAziziyah,20,20,1
2022-11-28T09:00:00.0,Metro_AlBiddaConcourse,10,10,1
2022-11-28T09:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T09:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T09:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T09:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T09:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T09:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T09:00:00.0,Metro_AlDohaAlJadeda,30,30,0
2022-11-28T09:00:00.0,Metro_AlMansoura,40,40,1
2022-11-28T09:00:00.0,Metro_AlMatarAlQadeem,39,39,1
2022-11-28T09:00:00.0,Metro_AlMessila,24,24,1
2022-11-28T09:00:00.0,Metro_AlQassar,19,19,0
2022-11-28T09:00:00.0,Metro_AlRayyanAlQadeem,7,7,0
2022-11-28T09:00:00.0,Metro_AlRiffa,7,7,1
2022-11-28T09:00:00.0,Metro_AlSadd,18,18,1
2022-11-28T09:00:00.0,Metro_AlShaqab,1,1,0
2022-11-28T09:00:00.0,Metro_AlSudan,8,8,0
2022-11-28T09:00:00.0,Metro_AlWaabQLM,4,4,1
2022-11-28T09:00:00.0,Metro_AlWakra,30,30,0
2022-11-28T09:00:00.0,Metro_BinMahmoud,26,26,1
2022-11-28T09:00:00.0,Metro_Corniche,0,0,0
2022-11-28T09:00:00.0,Metro_DECC,20,20,0
2022-11-28T09:00:00.0,Metro_EducationCity,34,34,0
2022-11-28T09:00:00.0,Metro_FreeZone,14,14,0
2022-11-28T09:00:00.0,Metro_HamadHospital,9,9,0
2022-11-28T09:00:00.0,Metro_HamadIntlAirportT1,62,62,0
2022-11-28T09:00:00.0,Metro_Joaan,20,20,0
2022-11-28T09:00:00.0,Metro_Katara,9,9,0
2022-11-28T09:00:00.0,Metro_Legtaifiya,17,17,0
2022-11-28T09:00:00.0,Metro_Lusail,25,25,1
2022-11-28T09:00:00.0,Metro_MsheirebConcourse,22,22,0
2022-11-28T09:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T09:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T09:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T09:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T09:00:00.0,Metro_NationalMuseum,12,12,0
2022-11-28T09:00:00.0,Metro_OqbaIbnNafie,12,12,0
2022-11-28T09:00:00.0,Metro_QatarNationalLibrary,7,7,0
2022-11-28T09:00:00.0,Metro_QatarUniversity,1,1,0
2022-11-28T09:00:00.0,Metro_RasBuAbboud,2,2,1
2022-11-28T09:00:00.0,Metro_RasBuFontas,16,16,0
2022-11-28T09:00:00.0,Metro_SouqWaqif,58,58,0
2022-11-28T09:00:00.0,Metro_SportCity,7,7,0
2022-11-28T09:00:00.0,Metro_TheWhitePalace,4,4,0
2022-11-28T09:00:00.0,Metro_UmmGhuwailina,13,13,1
2022-11-28T09:00:00.0,Metro_WestBay,9,9,1
2022-11-28T10:00:00.0,Metro_AlAziziyah,41,41,212
2022-11-28T10:00:00.0,Metro_AlBiddaConcourse,18,18,0
2022-11-28T10:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T10:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T10:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T10:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T10:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T10:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T10:00:00.0,Metro_AlDohaAlJadeda,50,50,0
