node_id,station_id,station_name,node_type,line,lon,lat
Metro_Xinzhuang_L05,2011,Xinzhuang,line,Line 5,121.380339538,31.112983939
Metro_WenshuiRoad,130,Wenshui Road,regular,Line 1,121.445587497,31.29447578
Metro_DonglanRoad,1223,Donglan Road,regular,Line 12,121.387228456,31.15770063
Metro_JiangpuPark,1241,Jiangpu Park,regular,Line 12,121.519166426,31.266534411
Metro_NorthJiangyangRoad,339,North Jiangyang Road,regular,Line 3,121.435081311,31.409673404
Metro_ShanghaiSwimmingCenter,1150,Shanghai Swimming Center,regular,Line 11,121.436739009,31.181366331
Metro_HuangxingRoad,844,Huangxing Road,regular,Line 8,121.523979949,31.280810293
Metro_ShenjiangRoad,1250,Shenjiang Road,regular,Line 12,121.622624106,31.282334324
Metro_BaoyangRoad,336,Baoyang Road,regular,Line 3,121.475066666,31.397184356
Metro_LingangAvenue,1632,Lingang Avenue,regular,Line 16,121.90670309,30.925884482
Metro_HeshaHangcheng,1625,Hesha Hangcheng,regular,Line 16,121.607093362,31.079974585
Metro_NorthSichuanRoad,1058,North Sichuan Road,regular,Line 10,121.479642061,31.253898054
Metro_ZhongshanNorthRoad,127,Zhongshan North Road,regular,Line 1,121.454688131,31.260741938
Metro_ShangdaRoad,729,Shangda Road,regular,Line 7,121.404049079,31.316758855
Metro_BaoshanRoad,2030,Baoshan Road,central,,121.471816719,31.253456818000004
Metro_BaoshanRoad_L03,2030,Baoshan Road,line,Line 3,121.472316719,31.253456818000004
Metro_BaoshanRoad_L04,2030,Baoshan Road,line,Line 4,121.471316719,31.253456818000004
Metro_BoxingRoad,639,Boxing Road,regular,Line 6,121.582521596,31.265715972
Metro_SongjiangSportsCenter,920,Songjiang Sports Center,regular,Line 9,121.226364779,31.018055817
Metro_DisneyResort,1163,Disney Resort,regular,Line 11,121.663732891,31.143438744
Metro_ShanghaiWestRailwayStation,1142,Shanghai West Railway Station,regular,Line 11,121.396085821,31.264540771
Metro_Anting,1117,Anting,regular,Line 11,121.157449346,31.29037688
Metro_GongfuXincun,135,Gongfu Xincun,regular,Line 1,121.429488802,31.356902294
Metro_JinshajiangRoad,2009,Jinshajiang Road,central,,121.408591207,31.234008201
Metro_JinshajiangRoad_L03,2009,Jinshajiang Road,line,Line 3,121.409091207,31.234008201
Metro_JinshajiangRoad_L04,2009,Jinshajiang Road,line,Line 4,121.408341207,31.234441213701896
Metro_JinshajiangRoad_L13,2009,Jinshajiang Road,line,Line 13,121.408341207,31.233575188298108
Metro_HongmeiRoad,1224,Hongmei Road,regular,Line 12,121.392662297,31.162296375
Metro_FujinRoad,138,Fujin Road,regular,Line 1,121.420030689,31.393999581
Metro_ZhouhaiRoad,644,Zhouhai Road,regular,Line 6,121.585223441,31.314421091
Metro_WuweiRoad,1139,Wuwei Road,regular,Line 11,121.360455468,31.278154062
Metro_XingzhiRoad,732,Xingzhi Road,regular,Line 7,121.417174701,31.285986202
Metro_WorldExpoMuseum,1338,World Expo Museum,regular,Line 13,121.477251581,31.199280653
Metro_ChunshenRoad,502,Chunshen Road,regular,Line 5,121.381178577,31.100133212
Metro_TiantongRoad,2026,Tiantong Road,central,,121.47772089,31.246365172
Metro_TiantongRoad_L10,2026,Tiantong Road,line,Line 10,121.47822089,31.246365172
Metro_TiantongRoad_L12,2026,Tiantong Road,line,Line 12,121.47722089,31.246365172
Metro_SouthSongjiangRailwayStation,918,South Songjiang Railway Station,regular,Line 9,121.226390216,30.987130812
Metro_QilianshanRoad,1140,Qilianshan Road,regular,Line 11,121.371234343,31.273492779
Metro_Lujiazui,247,Lujiazui,regular,Line 2,121.4979311,31.240237146
Metro_HuaningRoad,511,Huaning Road,regular,Line 5,121.390678018,31.00938857
Metro_ShanghaiCircusCity,129,Shanghai Circus City,regular,Line 1,121.447341668,31.281257251
Metro_Beixinjing,238,Beixinjing,regular,Line 2,121.369712386,31.218084283000003
Metro_ShanghaiScienceandTechnologyMuseum,250,Shanghai Science and Technology Museum,regular,Line 2,121.54035992,31.220820317
Metro_JiangpuRoad,843,Jiangpu Road,regular,Line 8,121.513485367,31.276923954
Metro_LongyangRoad,2052,Longyang Road,central,,121.552971357,31.205156342
Metro_LongyangRoad_L02,2052,Longyang Road,line,Line 2,121.553471357,31.205156342
Metro_LongyangRoad_L07,2052,Longyang Road,line,Line 7,121.55272135700001,31.205589354701893
Metro_LongyangRoad_L16,2052,Longyang Road,line,Line 16,121.55272135700001,31.204723329298105
Metro_TongheXincun,133,Tonghe Xincun,regular,Line 1,121.436929642,31.332913486
Metro_EastHuaxiaRoad,258,East Huaxia Road,regular,Line 2,121.676664195,31.198756563000003
Metro_WestGaokeRoad,2023,West Gaoke Road,central,,121.505517848,31.187777365
Metro_WestGaokeRoad_L06,2023,West Gaoke Road,line,Line 6,121.506017848,31.187777365
Metro_WestGaokeRoad_L07,2023,West Gaoke Road,line,Line 7,121.505017848,31.187777365
Metro_YuyuanGarden,1055,Yuyuan Garden,regular,Line 10,121.482864468,31.229964559000003
Metro_WestYouyiRoad,137,West Youyi Road,regular,Line 1,121.423323482,31.382958896
Metro_Huinan,1629,Huinan,regular,Line 16,121.757556095,31.055964545
