Station Name,Metro Line(s)
Pujiang Town,"Line 8"
Jiangyue Road,"Line 8"
Lianhang Road,"Line 8"
Shendu Highway,"Line 8"
Luheng Road,"Line 8"
South Songjiang Railway Station,"Line 9"
Zuibaichi,"Line 9"
Songjiang Sports Center,"Line 9"
Songjiang New City,"Line 9"
Songjiang University Town,"Line 9"
Dongjing,"Line 9"
Sheshan,"Line 9"
Sijing,"Line 9"
Jiuting,"Line 9"
Zhongchun Road,"Line 9"
Qibao,"Line 9"
Xingzhong Road,"Line 9"
Hechuan Road,"Line 9"
Caohejing Hi-Tech Park,"Line 9"
Guilin Road,"Line 9"
Jiashan Road,"Line 9, Line 12"
Dapuqiao,"Line 9"
Madang Road,"Line 9, Line 13"
Shangcheng Road,"Line 9"
Middle Yanggao Road,"Line 9"
Shanghai Zoo,"Line 10"
Longxi Road,"Line 10"
Shuicheng Road,"Line 10"
Yili Road,"Line 10"
Songyuan Road,"Line 10, Line 12"
Jiaotong University,"Line 10, Line 11"
Shanghai Library,"Line 10"
Yuyuan Garden,"Line 10"
Youdian Xincun,"Line 10"
Tongji University,"Line 10"
Guoquan Road,"Line 10"
Wujiaochang,"Line 10"
Jiangwan Stadium,"Line 10"
Sanmen Road,"Line 10"
East Yingao Road,"Line 10"
New Jiangwan City,"Line 10"
Longbai Xincun,"Line 10"
Disney Resort,"Line 11"
Kangxin Highway,"Line 11"
Xiuyan Road,"Line 11"
Luoshan Road,"Line 11, Line 16"
Yuqiao,"Line 11"
East Sanlin,"Line 11"
Sanlin,"Line 11"
Pusan Road,"Line 11"
Longhua,"Line 11, Line 12"
Shanghai Swimming Center,"Line 11"
Yunjin Road,"Line 11"
Longyao Road,"Line 6, Line 11"
Shanghai West Railway Station,"Line 11"
Liziyuan,"Line 11"
Zhenru,"Line 11"
Fengqiao Road,"Line 11"
Taopu Xincun,"Line 11"
Nanxiang,"Line 11"
Wuwei Road,"Line 11"
Qilianshan Road,"Line 11"
Malu,"Line 11"
Jiading New City,"Line 11"
Baiyin Road,"Line 11"
West Jiading,"Line 11"
North Jiading,"Line 11"
Shanghai Circuit,"Line 11"
East Changji Road,"Line 11"
Shanghai Automobile City,"Line 11"
Anting,"Line 11"
Zhaofeng Road,"Line 11"
Guangming Road,"Line 11"
Huaqiao,"Line 11"
Gudai Road,"Line 12"
Hongxin Road,"Line 12"
Qixin Road,"Line 12"
Donglan Road,"Line 12"
Hongmei Road,"Line 12"
Hongcao Road,"Line 12"
Guilin Park,"Line 12"
Tilanqiao,"Line 12"
International Cruise Terminal,"Line 12"
Jiangpu Park,"Line 12"
