timestamp,safety,intervall,period_length,past_minutes,max_enter,min_enter,scaling,kind_optimization,kind_simulation,kind_queue,infeasible,avg_duration,total_duration,avg_queue,end_queue,avg_queue_age,end_queue_age,total_demand,people_moved,avg_utilization,max_utilization,exceeded_minutes,exceeded_mean,exceeded_median,exceeded_080quant,exceeded_090quant,safety_minutes,safety_mean,safety_median,safety_080quant,safety_090quant
2024-07-20T16:48:18.722,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,30,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.08418773154166666,4.041011114,3468.675413711584,0.0,110.33244680851064,161.25,1.691058e6,1.311567266666667e6,0.2627734863445423,1.055306141933499,4.0,1.0467180089463641,1.0512164513706619,1.0551995052630825,1.0552528235982908,1723.0,0.8187645617946719,0.8102294709567507,0.8325228055071512,0.8456550689370099
2024-07-20T16:51:26.705,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,30,180.0,0.0,1.0,linweight,bound,shift_periods,0,0.09619872229166665,4.617538669999999,3476.3268173758865,0.0,109.02925531914893,137.5,1.691058e6,1.278355666666667e6,0.2539360825955416,1.4137071233120764,125.0,1.1157037637079346,1.0707400497433581,1.2208393090221346,1.3045282691409859,3019.0,0.8579413620076929,0.8353857816610119,0.8933478075091748,0.9288657102061852
2024-07-20T16:55:17.306,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,60,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.13325661133333333,6.396317344,3553.385904255319,0.0,112.89893617021276,153.75,1.691058e6,1.304288266666667e6,0.2590027767222466,1.0135293827842666,1.0,1.0135293827842666,1.0135293827842666,1.0135293827842666,1.0135293827842666,1152.0,0.8156161654988529,0.8081876900826065,0.8203053737153891,0.8361658632755387
2024-07-20T16:59:00.191,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,60,180.0,0.0,1.0,linweight,bound,shift_periods,0,0.1388983573541667,6.667121153000002,3614.2993055555557,0.0,110.7313829787234,138.75,1.691058e6,1.2618359333333329e6,0.25232360716501334,1.4413695113788496,125.0,1.1505809676421612,1.0704684007845648,1.304558986213731,1.37692387767266,2065.0,0.8708968462479119,0.8492026210354316,0.8990235071954014,0.9567303987549531
2024-07-20T17:03:24.988,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,90,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.16726879560416671,8.028902189000002,3543.3366134751773,0.0,110.37234042553192,159.375,1.691058e6,1.3024075333333337e6,0.25955988922252643,1.0582981571028494,1.0,1.0582981571028494,1.0582981571028494,1.0582981571028494,1.0582981571028494,721.0,0.8136682125248498,0.8080183215340158,0.8197635240215242,0.8326613057765938
2024-07-20T17:07:37.811,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,90,180.0,0.0,1.0,linweight,bound,shift_periods,0,0.17813439535416667,8.550450977,3740.222946217494,0.0,112.7127659574468,166.875,1.691058e6,1.2416931333333333e6,0.24954265797294348,1.5633390618141878,83.0,1.237266277259332,1.182954192537769,1.3520644324526838,1.5316254667889613,1316.0,0.8582317283351476,0.8251188916522849,0.8706408539444693,0.9026147825684581
2024-07-20T17:12:43.507,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,120,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.197343467875,9.472486458,3571.2917257683216,0.0,112.34042553191489,161.25,1.691058e6,1.2944316e6,0.25640747269406494,1.1370917854848221,9.0,1.0811936664486448,1.0783833516983183,1.1098932351187196,1.1325248351947945,679.0,0.8149931638368179,0.8061047563672068,0.8152789750848861,0.8325715896380252
2024-07-20T17:17:33.225,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,120,180.0,0.0,1.0,linweight,bound,shift_periods,0,0.22520382716666665,10.809783703999999,3862.128176713948,0.0,114.84042553191489,160.625,1.691058e6,1.2199105333333332e6,0.2452435963648179,1.6473891073024627,80.0,1.2466164092390004,1.0892493725013388,1.5708726063681213,1.5953244479813067,1290.0,0.8648369506672359,0.8259883413501005,0.8813280407915621,0.9394073798011903
2024-07-20T17:23:19.788,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,150,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.22948966962499998,11.015504142,3602.2830673758867,0.0,112.08776595744682,156.875,1.691058e6,1.283229066666667e6,0.2547853050976337,0.987122906058267,0.0,NaN,0.0,0.0,0.0,690.0,0.8140401539680119,0.8058650754927111,0.819342065245585,0.8355750568296507
2024-07-20T17:28:41.882,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,150,180.0,0.0,1.0,linweight,bound,shift_periods,0,0.2744017178958333,13.171282458999997,3993.0021276595744,0.0,117.57978723404254,168.75,1.691058e6,1.198432e6,0.24152725034449657,1.0688882973312193,17.0,1.0308098805228898,1.0331921676418527,1.049412884235498,1.060214128882816,849.0,0.8433935769012209,0.8279321734188027,0.8762438937696024,0.8912363288803198
2024-07-20T17:34:59.092,0.8,2022-11-27T05:00:00 to 2022-11-28T04:59:00,30,180,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.27330380174999996,13.118582484,3590.6229166666667,0.0,113.0186170212766,163.125,1.691058e6,1.2831363333333335e6,0.2547577507714786,0.9331840357169312,0.0,NaN,0.0,0.0,0.0,690.0,0.8135757300170583,0.8065306477537132,0.8173441975685087,0.8360088584802117
