timestamp,safety,intervall,period_length,past_minutes,max_enter,min_enter,scaling,kind_optimization,kind_simulation,kind_queue,infeasible,avg_duration,total_duration,avg_queue,end_queue,avg_queue_age,end_queue_age,total_demand,people_moved,avg_utilization,max_utilization,exceeded_minutes,exceeded_mean,exceeded_median,exceeded_080quant,exceeded_090quant,safety_minutes,safety_mean,safety_median,safety_080quant,safety_090quant
2024-07-23T09:02:55.904,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,60,120.0,0.0,1.0,linweight,bound,lag_periods,0,0.04899620516666667,1.175908924,4798.6411938534275,0.0,156.48936170212764,257.5,1.6962659999999995e6,1.0928491333333333e6,0.21803836795051199,0.8739798837783243,0.0,NaN,0.0,0.0,0.0,858.0,0.7184464878595481,0.7090888234873016,0.7290023915200332,0.7441194385987879
2024-07-23T09:05:57.758,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,120,120.0,0.0,1.0,linweight,bound,lag_periods,0,0.08223935049999999,1.9737444119999998,4848.89036643026,0.0,157.4468085106383,240.0,1.6962659999999995e6,1.100703e6,0.21789277670702134,0.8346166231219807,0.0,NaN,0.0,0.0,0.0,870.0,0.7179105039048356,0.7125071591086491,0.7310492852585766,0.7438078760362121
2024-07-23T09:09:18.728,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,180,120.0,0.0,1.0,linweight,bound,lag_periods,0,0.10235212258333333,2.456450942,4925.975664893617,0.0,162.76595744680853,235.0,1.6962659999999995e6,1.0867397333333334e6,0.21469186735918905,1.3130264395721192,30.0,1.1788579287159273,1.1275563972287848,1.2682666093876942,1.29123816428236,837.0,0.7433008194918066,0.7135850897383973,0.7344664825838203,0.8178571527880174
2024-07-23T09:13:00.324,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,240,120.0,0.0,1.0,linweight,bound,lag_periods,0,0.12471507729166666,2.993161855,4963.323064420803,0.0,160.2127659574468,240.0,1.6962659999999995e6,1.0724578666666667e6,0.21277390642440014,0.8904537713888949,0.0,NaN,0.0,0.0,0.0,643.0,0.7183524993364603,0.7095492390636595,0.7267865830859698,0.7394200543247444
2024-07-23T09:17:03.636,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,300,120.0,0.0,1.0,linweight,bound,lag_periods,0,0.14754513775,3.541083306,4984.406973995272,0.0,163.56382978723403,232.5,1.6962659999999995e6,1.0612976666666667e6,0.21076273965050416,1.35826854281789,26.0,1.2580541784585848,1.2265239182263106,1.3482539083560279,1.3514379104336802,759.0,0.7383967914248378,0.7080308945621746,0.7289781161573172,0.7628196736799092
2024-07-23T09:19:42.406,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,60,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.051323544791666655,1.2317650749999998,4663.457919621749,0.0,155.37234042553192,210.0,1.6962659999999995e6,1.1188014e6,0.2219111196124401,1.6455181186568066,55.0,1.2161519067108093,1.2999652725830917,1.334920545940668,1.4897524202638737,1167.0,0.7561449605672261,0.7173774480136277,0.7557841266516627,0.8399273276195767
2024-07-23T09:22:42.425,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,120,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.079210981625,1.901063559,4761.291784869976,0.0,158.29787234042553,222.5,1.6962659999999995e6,1.1029178e6,0.21912685742888555,1.4122410685446654,48.0,1.2427393276317475,1.2423176553979358,1.3810442521930573,1.3915555131113948,1002.0,0.7556039593802618,0.7131401350009716,0.7555606842227431,0.8261102589236212
2024-07-23T09:26:03.217,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,180,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.111891765875,2.685402381,4849.3323729314425,0.0,160.74468085106383,225.0,1.6962659999999995e6,1.0891632e6,0.21726949476997687,1.0586691003937054,11.0,1.0256534150014682,1.0116599972261227,1.0580288442912646,1.058264651505353,988.0,0.7411379509081256,0.7181127922704009,0.7595491786152793,0.8061302074362515
2024-07-23T09:29:46.831,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,240,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.12551011779166665,3.0122428269999997,4872.819414893617,0.0,156.43617021276594,217.5,1.6962659999999995e6,1.0803306666666665e6,0.21341603842572537,0.7854512024767363,0.0,NaN,0.0,0.0,0.0,713.0,0.7170750443135047,0.711840111056356,0.7265289483598759,0.7456308213029929
2024-07-23T09:33:48.972,0.7,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,300,180.0,0.0,1.0,linweight,bound,lag_periods,0,0.150042896,3.6010295040000004,4894.997754137115,0.0,161.01063829787233,222.5,1.6962659999999995e6,1.0718531333333333e6,0.21155361955874585,1.0812387584399947,3.0,1.0477316352847181,1.0488234794571591,1.0682726468468604,1.0747557026434276,686.0,0.730948269107132,0.7152931040813209,0.7426224364270588,0.7666470841603747
2024-07-23T09:36:28.502,0.8,2022-11-28T05:00:00 to 2022-11-29T04:59:00,60,60,120.0,0.0,1.0,linweight,bound,lag_periods,0,0.04851952891666667,1.1644686940000002,3891.911421394799,0.0,141.70212765957447,222.5,1.6962659999999995e6,1.2289670666666667e6,0.24634283257313166,1.4083117181648215,53.0,1.1241203747440391,1.0634052459927688,1.2484140367381416,1.278642656805767,993.0,0.8481121659999893,0.8158769101319701,0.8752397793735495,0.9418683559170854
